,Trial,filekey,Phase,Start,End,notes
79,211130_animal_trial_12,01,PIN,2021-11-30 03:44:28.123000+00:00,2021-11-30 03:45:45.127000+00:00,
80,211130_animal_trial_12,01,PAO,2021-11-30 03:57:53.564000+00:00,2021-11-30 04:06:09.765000+00:00,
81,211130_animal_trial_12,01,TIP,2021-11-30 04:24:30.714000+00:00,2021-11-30 04:59:49.279000+00:00,
82,211130_animal_trial_12,01,POUT,2021-11-30 05:09:15.512000+00:00,2021-11-30 05:10:18.481000+00:00,
83,211130_animal_trial_12,01,PIN2,2021-11-30 05:57:53.126000+00:00,2021-11-30 05:59:18.491000+00:00,
84,211130_animal_trial_12,02,LAC,2021-11-30 06:48:05.827000+00:00,2021-11-30 06:50:25.593000+00:00,
85,211130_animal_trial_12,05,TRS,2021-11-30 11:47:43.779000+00:00,2021-11-30 11:54:29.674000+00:00,
86,211130_animal_trial_13,06,PIN,2021-11-30 12:58:11.390000+00:00,2021-11-30 12:59:30.991000+00:00,
87,211130_animal_trial_13,06,PAO,2021-11-30 13:08:45.895000+00:00,2021-11-30 13:26:45.095000+00:00,
88,211130_animal_trial_13,06,TIP,2021-11-30 13:34:15.227000+00:00,2021-11-30 14:10:48.567000+00:00,
89,211130_animal_trial_13,07,POUT,2021-11-30 14:19:26.608000+00:00,2021-11-30 14:23:00.006000+00:00,
90,211130_animal_trial_13,08,PIN2,2021-11-30 15:18:55.155000+00:00,2021-11-30 15:20:12.220000+00:00,
91,211130_animal_trial_13,08,LAC,2021-11-30 15:44:55.663000+00:00,2021-11-30 15:50:53.025000+00:00,
92,211130_animal_trial_13,09,TRS,2021-11-30 18:48:33.682000+00:00,2021-11-30 18:56:36.017000+00:00,
93,211207_animal_trial_14,01,PIN,2021-12-07 03:53:54.183000+00:00,2021-12-07 03:55:09.516000+00:00,
94,211207_animal_trial_14,01,PAO,2021-12-07 04:08:52.185000+00:00,2021-12-07 04:15:22.722000+00:00,
95,211207_animal_trial_14,01,TIP,2021-12-07 05:04:57.328000+00:00,2021-12-07 05:08:03.968000+00:00,
96,211207_animal_trial_14,01,POUT,2021-12-07 05:15:11.272000+00:00,2021-12-07 05:17:27.205000+00:00,
97,211207_animal_trial_14,02,LAC,2021-12-07 06:34:40.520000+00:00,2021-12-07 06:42:46.253000+00:00,
98,211207_animal_trial_14,06,TRS,2021-12-07 11:39:07.508000+00:00,2021-12-07 11:44:02.910000+00:00,
99,211209_animal_trial_15,01,PIN,2021-12-09 03:38:35.796000+00:00,2021-12-09 03:39:51.828000+00:00,
100,211209_animal_trial_15,01,PAO,2021-12-09 03:49:01.057000+00:00,2021-12-09 04:07:56.394000+00:00,
101,211209_animal_trial_15,01,TIP,2021-12-09 04:14:55.593000+00:00,2021-12-09 05:00:21.430000+00:00,
102,211209_animal_trial_15,01,POUT,2021-12-09 05:07:53.502000+00:00,2021-12-09 05:09:25.699000+00:00,
103,211209_animal_trial_15,01,PIN2,2021-12-09 05:58:21.937000+00:00,2021-12-09 05:59:06.073000+00:00,
104,211209_animal_trial_15,02,LAC,2021-12-09 07:54:14.277000+00:00,2021-12-09 08:32:30.113000+00:00,"strange timing here, was teaching nadia I think"
105,211209_animal_trial_15,05,TRS,2021-12-09 12:35:24.852000+00:00,2021-12-09 12:39:45.654000+00:00,
106,211210_animal_trial_16,01,PIN,2021-12-10 03:55:19.621000+00:00,2021-12-10 03:56:37.054000+00:00,
107,211210_animal_trial_16,01,PAO,2021-12-10 04:07:38.155000+00:00,2021-12-10 04:16:51.255000+00:00,
108,211210_animal_trial_16,01,TIP,2021-12-10 04:32:30.462000+00:00,2021-12-10 04:58:26.226000+00:00,
109,211210_animal_trial_16,01,POUT,2021-12-10 05:09:26.795000+00:00,2021-12-10 05:11:39.660000+00:00,
110,211210_animal_trial_16,02,PIN2,2021-12-10 06:02:13.928000+00:00,2021-12-10 06:02:47.329000+00:00,incomplete
111,211210_animal_trial_16,03,LAC,2021-12-10 06:56:26.228000+00:00,2021-12-10 06:57:50.593000+00:00,
112,211210_animal_trial_16,05,TRS,2021-12-10 12:16:50.276000+00:00,2021-12-10 12:29:37.469000+00:00,
113,211214_animal_trial_17,01,PAO,2021-12-14 03:57:54.681000+00:00,2021-12-14 04:21:23.247000+00:00,first half now has pig covered..
114,211214_animal_trial_17,01,TIP,2021-12-14 04:24:59.244000+00:00,2021-12-14 04:38:41.114000+00:00,
115,211214_animal_trial_17,01,POUT,2021-12-14 05:19:35.883000+00:00,2021-12-14 05:20:56.147000+00:00,
116,211214_animal_trial_17,02,PIN2,2021-12-14 06:08:43.225000+00:00,2021-12-14 06:11:31.858000+00:00,
117,211214_animal_trial_17,02,LAC,2021-12-14 06:50:48.595000+00:00,2021-12-14 06:53:22.992000+00:00,
118,211214_animal_trial_17,04,TRS,2021-12-14 11:30:25.841000+00:00,2021-12-14 11:46:37.923000+00:00,
119,211215_animal_trial_18,02,PIN2,2021-12-15 06:26:59.787000+00:00,2021-12-15 06:29:34.620000+00:00,marker in FOV... 
120,211215_animal_trial_18,03,LAC,2021-12-15 07:29:05.755000+00:00,2021-12-15 07:30:43.668000+00:00,lights off for first part..
121,211215_animal_trial_18,05,TRS,2021-12-15 12:23:39.330000+00:00,2021-12-15 12:33:34.062000+00:00,
